REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 D:\Dual_Region\MOS_PESQ\swav\12.wav	 D:\Dual_Region\MOS_PESQ\ywav\12.wav	 SQValue=2.947	 2.947	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\13.wav	 D:\Dual_Region\MOS_PESQ\ywav\13.wav	 SQValue=4.078	 4.078	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\14.wav	 D:\Dual_Region\MOS_PESQ\ywav\14.wav	 SQValue=4.005	 4.005	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\15.wav	 D:\Dual_Region\MOS_PESQ\ywav\15.wav	 SQValue=3.869	 3.869	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\16.wav	 D:\Dual_Region\MOS_PESQ\ywav\16.wav	 SQValue=3.417	 3.417	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\17.wav	 D:\Dual_Region\MOS_PESQ\ywav\17.wav	 SQValue=3.800	 3.800	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\18.wav	 D:\Dual_Region\MOS_PESQ\ywav\18.wav	 SQValue=3.670	 3.670	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\19.wav	 D:\Dual_Region\MOS_PESQ\ywav\19.wav	 SQValue=3.335	 3.335	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\20.wav	 D:\Dual_Region\MOS_PESQ\ywav\20.wav	 SQValue=2.975	 2.975	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\21.wav	 D:\Dual_Region\MOS_PESQ\ywav\21.wav	 SQValue=4.259	 4.259	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\22.wav	 D:\Dual_Region\MOS_PESQ\ywav\22.wav	 SQValue=3.947	 3.947	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\23.wav	 D:\Dual_Region\MOS_PESQ\ywav\23.wav	 SQValue=4.045	 4.045	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\24.wav	 D:\Dual_Region\MOS_PESQ\ywav\24.wav	 SQValue=3.146	 3.146	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\1.wav	 D:\Dual_Region\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\2.wav	 D:\Dual_Region\MOS_PESQ\ywav\2.wav	 SQValue=4.163	 4.163	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\3.wav	 D:\Dual_Region\MOS_PESQ\ywav\3.wav	 SQValue=3.907	 3.907	 0.000	 0	 16000	0.0000
